"film_id","inventory_id","title","last_rent"
24,120,"Analyze Hoosiers","24 days 31:46:00"
24,123,"Analyze Hoosiers","18 days 32:27:00"
24,122,"Analyze Hoosiers","16 days 62:53:00"
24,121,"Analyze Hoosiers","14 days 40:15:00"
25,129,"Angels Life","31 days 89:34:00"
25,126,"Angels Life","21 days 83:57:00"
25,125,"Angels Life","19 days 79:04:00"
25,127,"Angels Life","16 days 10:27:00"
25,128,"Angels Life","14 days 07:06:00"
25,124,"Angels Life","4 days 24:20:00"
26,131,"Annie Identity","22 days 32:57:00"
26,133,"Annie Identity","16 days 74:16:00"
26,134,"Annie Identity","16 days 45:03:00"
26,130,"Annie Identity","15 days 64:23:00"
26,132,"Annie Identity","15 days 52:57:00"
27,135,"Anonymous Human","20 days 46:54:00"
27,136,"Anonymous Human","18 days 28:10:00"
27,137,"Anonymous Human","12 days 01:03:00"
27,138,"Anonymous Human","8 days 45:52:00"
28,139,"Anthem Luke","27 days 29:00:00"
28,141,"Anthem Luke","20 days 47:14:00"
28,140,"Anthem Luke","19 days 17:32:00"
29,142,"Antitrust Tomatoes","27 days 16:56:00"
29,143,"Antitrust Tomatoes","17 days 51:59:00"
30,145,"Anything Savannah","31 days 67:11:00"
30,144,"Anything Savannah","14 days 46:53:00"
31,147,"Apache Divine","22 days 28:49:00"
31,151,"Apache Divine","21 days 50:20:00"
31,152,"Apache Divine","18 days 46:59:00"
31,149,"Apache Divine","14 days 61:30:00"
31,148,"Apache Divine","12 days 62:28:00"
31,146,"Apache Divine","11 days 82:13:00"
31,153,"Apache Divine","13 days 23:12:00"
31,150,"Apache Divine","4 days 60:40:00"
32,155,"Apocalypse Flamingos","16 days 64:35:00"
32,154,"Apocalypse Flamingos","6 days 18:42:00"
34,158,"Arabia Dogma","27 days 69:58:00"
34,159,"Arabia Dogma","10 days 89:31:00"
34,156,"Arabia Dogma","8 days 38:00:00"
34,157,"Arabia Dogma","6 days 21:48:00"
35,163,"Arachnophobia Rollercoaster","27 days 32:10:00"
35,161,"Arachnophobia Rollercoaster","22 days 45:20:00"
35,165,"Arachnophobia Rollercoaster","20 days 87:53:00"
35,166,"Arachnophobia Rollercoaster","17 days 28:29:00"
35,164,"Arachnophobia Rollercoaster","14 days 46:57:00"
35,162,"Arachnophobia Rollercoaster","14 days 41:14:00"
35,160,"Arachnophobia Rollercoaster","6 days 22:07:00"
37,168,"Arizona Bang","17 days 47:01:00"
37,173,"Arizona Bang","14 days 79:09:00"
37,171,"Arizona Bang","15 days 08:04:00"
37,167,"Arizona Bang","14 days 23:05:00"
37,172,"Arizona Bang","10 days 70:13:00"
37,170,"Arizona Bang","7 days 51:44:00"
37,169,"Arizona Bang","5 days 26:29:00"
39,178,"Armageddon Lost","26 days 30:54:00"
39,176,"Armageddon Lost","25 days 49:45:00"
39,180,"Armageddon Lost","14 days 42:27:00"
39,174,"Armageddon Lost","14 days 05:57:00"
39,179,"Armageddon Lost","10 days 26:17:00"
39,175,"Armageddon Lost","7 days 10:42:00"
39,177,"Armageddon Lost","18:24:00"
40,182,"Army Flintstones","29 days 54:21:00"
40,184,"Army Flintstones","18 days 66:57:00"
40,183,"Army Flintstones","14 days 34:19:00"
40,181,"Army Flintstones","11 days 10:20:00"
42,187,"Artist Coldblooded","29 days 75:06:00"
42,186,"Artist Coldblooded","27 days 54:17:00"
42,185,"Artist Coldblooded","18 days 28:47:00"
42,188,"Artist Coldblooded","4 days 42:37:00"
43,194,"Atlantis Cause","24 days 45:32:00"
43,191,"Atlantis Cause","20 days 40:38:00"
43,190,"Atlantis Cause","15 days 55:15:00"
43,192,"Atlantis Cause","16 days 20:56:00"
43,189,"Atlantis Cause","14 days 44:58:00"
43,193,"Atlantis Cause","8 days 22:01:00"
43,195,"Atlantis Cause","4 days 63:08:00"
44,200,"Attacks Hate","28 days 50:46:00"
44,197,"Attacks Hate","18 days 27:58:00"
44,199,"Attacks Hate","13 days 40:35:00"
44,196,"Attacks Hate","12 days 50:03:00"
44,198,"Attacks Hate","13 days 23:02:00"
45,206,"Attraction Newton","21 days 69:22:00"
45,204,"Attraction Newton","19 days 27:42:00"
45,203,"Attraction Newton","16 days 46:31:00"
45,205,"Attraction Newton","15 days 53:37:00"
45,201,"Attraction Newton","14 days 30:50:00"
45,202,"Attraction Newton","10 days 36:27:00"
46,208,"Autumn Crow","27 days 43:21:00"
46,207,"Autumn Crow","15 days 105:48:00"
46,209,"Autumn Crow","8 days 19:48:00"
47,210,"Baby Hall","23 days 50:03:00"
47,211,"Baby Hall","12 days 26:30:00"
48,214,"Backlash Undefeated","34 days 48:20:00"
48,213,"Backlash Undefeated","30 days 40:59:00"
48,212,"Backlash Undefeated","24 days 48:27:00"
48,215,"Backlash Undefeated","22 days 49:27:00"
49,219,"Badman Dawn","20 days 29:06:00"
49,220,"Badman Dawn","20 days 14:29:00"
49,221,"Badman Dawn","17 days 61:02:00"
49,217,"Badman Dawn","16 days 08:55:00"
49,218,"Badman Dawn","7 days 46:55:00"
49,216,"Badman Dawn","7 days 43:04:00"
50,225,"Baked Cleopatra","18 days 30:37:00"
50,226,"Baked Cleopatra","14 days 51:19:00"
50,223,"Baked Cleopatra","14 days 46:43:00"
50,224,"Baked Cleopatra","8 days 24:37:00"
50,222,"Baked Cleopatra","7 days 44:40:00"
51,228,"Balloon Homeward","26 days 49:03:00"
51,227,"Balloon Homeward","25 days 35:13:00"
51,229,"Balloon Homeward","21 days 84:12:00"
51,230,"Balloon Homeward","19 days 54:11:00"
51,232,"Balloon Homeward","13 days 41:18:00"
51,231,"Balloon Homeward","11 days 66:08:00"
52,234,"Ballroom Mockingbird","23 days 30:45:00"
52,233,"Ballroom Mockingbird","10 days 47:31:00"
53,235,"Bang Kwai","20 days 52:25:00"
53,236,"Bang Kwai","5 days 04:55:00"
54,239,"Banger Pinocchio","24 days 49:55:00"
54,241,"Banger Pinocchio","21 days 45:43:00"
54,237,"Banger Pinocchio","17 days 28:49:00"
54,238,"Banger Pinocchio","14 days 90:03:00"
54,240,"Banger Pinocchio","15 days 56:14:00"
55,242,"Barbarella Streetcar","31 days 12:41:00"
55,245,"Barbarella Streetcar","26 days 52:43:00"
55,244,"Barbarella Streetcar","21 days 34:01:00"
55,247,"Barbarella Streetcar","21 days 08:22:00"
55,243,"Barbarella Streetcar","19 days 47:52:00"
55,246,"Barbarella Streetcar","19 days 11:59:00"
56,249,"Barefoot Manchurian","31 days 76:59:00"
56,251,"Barefoot Manchurian","21 days 31:23:00"
56,248,"Barefoot Manchurian","17 days 67:55:00"
56,252,"Barefoot Manchurian","9 days 27:25:00"
56,250,"Barefoot Manchurian","4 days 06:48:00"
57,259,"Basic Easy","20 days 25:24:00"
57,258,"Basic Easy","15 days 42:30:00"
57,253,"Basic Easy","13 days 79:33:00"
57,256,"Basic Easy","13 days 66:12:00"
57,257,"Basic Easy","11 days 23:37:00"
57,254,"Basic Easy","5 days 22:45:00"
57,255,"Basic Easy","5 days 05:24:00"
58,261,"Beach Heartbreakers","27 days 69:35:00"
58,263,"Beach Heartbreakers","21 days 80:12:00"
58,260,"Beach Heartbreakers","18 days 45:28:00"
58,262,"Beach Heartbreakers","14 days 06:14:00"
59,268,"Bear Graceland","30 days 30:29:00"
59,265,"Bear Graceland","25 days 65:52:00"
59,267,"Bear Graceland","20 days 47:52:00"
59,266,"Bear Graceland","19 days 52:49:00"
59,264,"Bear Graceland","16 days 65:11:00"
60,270,"Beast Hunchback","23 days 70:22:00"
60,269,"Beast Hunchback","13 days 33:36:00"
60,271,"Beast Hunchback","8 days 22:28:00"
61,273,"Beauty Grease","30 days 67:37:00"
61,272,"Beauty Grease","17 days 70:12:00"
61,277,"Beauty Grease","16 days 45:40:00"
61,276,"Beauty Grease","14 days 78:13:00"
61,275,"Beauty Grease","11 days 38:03:00"
61,274,"Beauty Grease","5 days 07:23:00"
62,278,"Bed Highball","16 days 63:15:00"
62,279,"Bed Highball","13 days 43:58:00"
63,280,"Bedazzled Married","22 days 67:08:00"
63,283,"Bedazzled Married","13 days 22:00:00"
63,282,"Bedazzled Married","8 days 33:08:00"
63,281,"Bedazzled Married","5 days 25:51:00"
64,284,"Beethoven Exorcist","21 days 85:08:00"
64,286,"Beethoven Exorcist","18 days 14:26:00"
64,285,"Beethoven Exorcist","9 days 06:41:00"
65,288,"Behavior Runaway","28 days 73:20:00"
65,287,"Behavior Runaway","15 days 25:55:00"
65,290,"Behavior Runaway","12 days 08:22:00"
65,289,"Behavior Runaway","9 days 18:31:00"
66,291,"Beneath Rush","14 days 48:37:00"
66,293,"Beneath Rush","14 days 26:47:00"
66,292,"Beneath Rush","11 days 59:59:00"
67,294,"Berets Agent","17 days 40:27:00"
67,299,"Berets Agent","15 days 64:31:00"
67,296,"Berets Agent","14 days 49:57:00"
67,297,"Berets Agent","13 days 22:55:00"
67,295,"Berets Agent","10 days 26:47:00"
67,298,"Berets Agent","9 days 23:45:00"
68,301,"Betrayed Rear","29 days 48:03:00"
68,303,"Betrayed Rear","24 days 34:42:00"
68,300,"Betrayed Rear","10 days 25:45:00"
68,302,"Betrayed Rear","4 days 60:46:00"
69,310,"Beverly Outlaw","19 days 32:09:00"
69,308,"Beverly Outlaw","16 days 42:53:00"
69,307,"Beverly Outlaw","16 days 22:27:00"
69,306,"Beverly Outlaw","13 days 24:56:00"
69,305,"Beverly Outlaw","12 days 26:38:00"
69,304,"Beverly Outlaw","11 days 45:40:00"
69,309,"Beverly Outlaw","9 days 11:50:00"
69,311,"Beverly Outlaw","4 days 40:40:00"
70,314,"Bikini Borrowers","30 days 72:46:00"
70,315,"Bikini Borrowers","24 days 49:47:00"
70,312,"Bikini Borrowers","21 days 66:20:00"
70,313,"Bikini Borrowers","17 days 49:48:00"
71,318,"Bilko Anonymous","21 days 79:38:00"
71,316,"Bilko Anonymous","17 days 87:28:00"
71,319,"Bilko Anonymous","14 days 05:42:00"
71,317,"Bilko Anonymous","10 days 27:25:00"
72,323,"Bill Others","24 days 30:36:00"
72,324,"Bill Others","20 days 51:48:00"
72,320,"Bill Others","12 days 65:22:00"
72,322,"Bill Others","10 days 45:47:00"
72,325,"Bill Others","9 days 47:09:00"
72,321,"Bill Others","6 days 40:03:00"
73,326,"Bingo Talented","30 days 56:38:00"
73,327,"Bingo Talented","24 days 46:50:00"
73,331,"Bingo Talented","23 days 69:54:00"
73,330,"Bingo Talented","17 days 57:15:00"
73,328,"Bingo Talented","18 days 24:08:00"
73,333,"Bingo Talented","18 days 14:17:00"
73,329,"Bingo Talented","12 days 10:28:00"
73,332,"Bingo Talented","11 days 19:51:00"
74,337,"Birch Antitrust","19 days 42:18:00"
74,336,"Birch Antitrust","11 days 04:18:00"
74,335,"Birch Antitrust","8 days 46:40:00"
74,334,"Birch Antitrust","8 days 43:29:00"
74,338,"Birch Antitrust","8 days 26:27:00"
75,339,"Bird Independence","25 days 63:11:00"
75,340,"Bird Independence","18 days 55:37:00"
75,341,"Bird Independence","13 days 08:30:00"
76,342,"Birdcage Casper","17 days 60:06:00"
76,343,"Birdcage Casper","14 days 48:01:00"
76,344,"Birdcage Casper","11 days 26:26:00"
77,350,"Birds Perdition","25 days 63:10:00"
77,346,"Birds Perdition","19 days 47:08:00"
77,345,"Birds Perdition","14 days 25:15:00"
77,349,"Birds Perdition","7 days 44:14:00"
77,347,"Birds Perdition","6 days 25:26:00"
77,348,"Birds Perdition","3 days 44:47:00"
78,352,"Blackout Private","26 days 52:50:00"
78,351,"Blackout Private","26 days 50:47:00"
78,353,"Blackout Private","17 days 44:17:00"
78,354,"Blackout Private","15 days 51:59:00"
78,357,"Blackout Private","11 days 08:01:00"
78,355,"Blackout Private","7 days 24:22:00"
78,356,"Blackout Private","2 days 21:44:00"
79,359,"Blade Polish","20 days 12:59:00"
79,360,"Blade Polish","14 days 79:30:00"
79,361,"Blade Polish","12 days 63:08:00"
79,362,"Blade Polish","12 days 25:08:00"
79,363,"Blade Polish","10 days 07:19:00"
79,358,"Blade Polish","8 days 43:43:00"
80,367,"Blanket Beverly","24 days 68:20:00"
80,366,"Blanket Beverly","16 days 10:30:00"
80,364,"Blanket Beverly","14 days 07:12:00"
80,365,"Blanket Beverly","9 days 26:24:00"
81,371,"Blindness Gun","23 days 48:02:00"
81,368,"Blindness Gun","18 days 77:13:00"
81,369,"Blindness Gun","17 days 08:19:00"
81,370,"Blindness Gun","7 days 19:02:00"
82,372,"Blood Argonauts","27 days 62:45:00"
82,373,"Blood Argonauts","25 days 50:44:00"
83,374,"Blues Instinct","19 days 60:44:00"
83,377,"Blues Instinct","19 days 59:30:00"
83,375,"Blues Instinct","17 days 88:53:00"
83,376,"Blues Instinct","16 days 26:21:00"
83,378,"Blues Instinct","14 days 42:17:00"
84,379,"Boiled Dares","25 days 46:35:00"
84,380,"Boiled Dares","20 days 47:18:00"
84,382,"Boiled Dares","11 days 26:17:00"
84,381,"Boiled Dares","8 days 05:27:00"
85,386,"Bonnie Holocaust","19 days 81:11:00"
85,385,"Bonnie Holocaust","17 days 45:45:00"
85,384,"Bonnie Holocaust","16 days 64:53:00"
85,383,"Bonnie Holocaust","6 days 63:11:00"
86,390,"Boogie Amelie","21 days 71:47:00"
86,393,"Boogie Amelie","20 days 72:12:00"
86,389,"Boogie Amelie","17 days 32:46:00"
86,387,"Boogie Amelie","16 days 15:39:00"
86,388,"Boogie Amelie","14 days 45:48:00"
86,391,"Boogie Amelie","12 days 61:34:00"
86,392,"Boogie Amelie","10 days 11:36:00"
86,394,"Boogie Amelie","9 days 26:07:00"
88,398,"Born Spinal","18 days 26:40:00"
88,397,"Born Spinal","11 days 62:55:00"
88,395,"Born Spinal","8 days 43:07:00"
88,396,"Born Spinal","6 days 29:06:00"
89,403,"Borrowers Bedazzled","25 days 86:50:00"
89,402,"Borrowers Bedazzled","22 days 53:29:00"
89,399,"Borrowers Bedazzled","19 days 76:07:00"
89,401,"Borrowers Bedazzled","16 days 43:03:00"
89,404,"Borrowers Bedazzled","16 days 26:41:00"
89,400,"Borrowers Bedazzled","12 days 46:01:00"
90,409,"Boulevard Mob","19 days 61:38:00"
90,406,"Boulevard Mob","19 days 29:56:00"
90,408,"Boulevard Mob","16 days 24:16:00"
90,407,"Boulevard Mob","13 days 66:24:00"
90,405,"Boulevard Mob","12 days 04:51:00"
90,410,"Boulevard Mob","9 days 05:37:00"
91,416,"Bound Cheaper","16 days 42:20:00"
91,417,"Bound Cheaper","15 days 33:18:00"
91,418,"Bound Cheaper","15 days 24:07:00"
91,414,"Bound Cheaper","14 days 41:34:00"
91,412,"Bound Cheaper","14 days 28:05:00"
91,411,"Bound Cheaper","12 days 45:19:00"
91,413,"Bound Cheaper","12 days 42:03:00"
91,415,"Bound Cheaper","11 days 61:04:00"
92,421,"Bowfinger Gables","15 days 43:12:00"
92,419,"Bowfinger Gables","7 days 32:06:00"
92,422,"Bowfinger Gables","6 days 08:00:00"
92,420,"Bowfinger Gables","2 days 22:44:00"
93,425,"Brannigan Sunrise","24 days 52:14:00"
93,424,"Brannigan Sunrise","13 days 78:20:00"
93,423,"Brannigan Sunrise","10 days 42:38:00"
94,426,"Braveheart Human","11 days 26:20:00"
94,427,"Braveheart Human","6 days 48:03:00"
95,428,"Breakfast Goldfinger","23 days 84:52:00"
95,432,"Breakfast Goldfinger","22 days 19:50:00"
95,431,"Breakfast Goldfinger","17 days 87:41:00"
95,430,"Breakfast Goldfinger","12 days 66:55:00"
95,429,"Breakfast Goldfinger","7 days 27:42:00"
96,435,"Breaking Home","24 days 65:49:00"
96,434,"Breaking Home","18 days 106:25:00"
96,433,"Breaking Home","4 days 43:10:00"
97,438,"Bride Intrigue","20 days 24:13:00"
97,441,"Bride Intrigue","18 days 49:08:00"
97,436,"Bride Intrigue","14 days 44:36:00"
97,437,"Bride Intrigue","10 days 24:54:00"
97,439,"Bride Intrigue","7 days 62:33:00"
97,440,"Bride Intrigue","8 days 05:51:00"
98,442,"Bright Encounters","23 days 67:20:00"
98,443,"Bright Encounters","22 days 32:34:00"
98,444,"Bright Encounters","17 days 64:20:00"
99,447,"Bringing Hysterical","21 days 62:59:00"
99,450,"Bringing Hysterical","20 days 30:56:00"
99,448,"Bringing Hysterical","20 days 29:49:00"
99,446,"Bringing Hysterical","19 days 46:03:00"
99,445,"Bringing Hysterical","14 days 41:45:00"
99,449,"Bringing Hysterical","11 days 49:03:00"
100,456,"Brooklyn Desert","33 days 54:29:00"
100,451,"Brooklyn Desert","19 days 72:03:00"
100,452,"Brooklyn Desert","16 days 75:08:00"
100,453,"Brooklyn Desert","14 days 22:14:00"
100,454,"Brooklyn Desert","12 days 41:35:00"
100,455,"Brooklyn Desert","9 days 22:12:00"
101,457,"Brotherhood Blanket","33 days 50:41:00"
101,458,"Brotherhood Blanket","25 days 71:11:00"
101,461,"Brotherhood Blanket","24 days 72:05:00"
101,462,"Brotherhood Blanket","22 days 61:34:00"
101,460,"Brotherhood Blanket","19 days 27:57:00"
101,459,"Brotherhood Blanket","11 days 64:21:00"
102,463,"Bubble Grosse","15 days 52:24:00"
102,464,"Bubble Grosse","4 days 23:18:00"
103,471,"Bucket Brotherhood","30 days 74:14:00"
103,466,"Bucket Brotherhood","28 days 55:33:00"
103,469,"Bucket Brotherhood","19 days 102:46:00"
103,470,"Bucket Brotherhood","21 days 50:28:00"
103,468,"Bucket Brotherhood","15 days 89:33:00"
103,465,"Bucket Brotherhood","17 days 08:43:00"
103,467,"Bucket Brotherhood","15 days 36:41:00"
103,472,"Bucket Brotherhood","5 days 19:58:00"
104,473,"Bugsy Song","30 days 74:38:00"
104,475,"Bugsy Song","13 days 43:37:00"
104,474,"Bugsy Song","11 days 64:30:00"
105,478,"Bull Shawshank","15 days 64:36:00"
105,480,"Bull Shawshank","16 days 30:13:00"
105,479,"Bull Shawshank","12 days 64:58:00"
105,477,"Bull Shawshank","12 days 06:21:00"
105,476,"Bull Shawshank","8 days 25:00:00"
106,481,"Bulworth Commandments","18 days 09:20:00"
106,482,"Bulworth Commandments","17 days 26:59:00"
107,483,"Bunch Minds","16 days 08:38:00"
107,484,"Bunch Minds","11 days 06:18:00"
109,485,"Butterfly Chocolat","29 days 75:51:00"
109,487,"Butterfly Chocolat","27 days 30:27:00"
109,486,"Butterfly Chocolat","24 days 41:44:00"
109,491,"Butterfly Chocolat","22 days 79:31:00"
109,490,"Butterfly Chocolat","17 days 69:19:00"
109,488,"Butterfly Chocolat","17 days 58:15:00"
109,492,"Butterfly Chocolat","17 days 22:43:00"
109,489,"Butterfly Chocolat","8 days 28:36:00"
110,495,"Cabin Flash","22 days 49:54:00"
110,496,"Cabin Flash","18 days 62:56:00"
110,494,"Cabin Flash","18 days 31:44:00"
110,493,"Cabin Flash","15 days 33:49:00"
111,498,"Caddyshack Jedi","23 days 28:00:00"
111,499,"Caddyshack Jedi","18 days 03:18:00"
111,497,"Caddyshack Jedi","14 days 65:58:00"
111,500,"Caddyshack Jedi","13 days 53:30:00"
112,503,"Calendar Gunfight","24 days 90:11:00"
112,501,"Calendar Gunfight","17 days 61:28:00"
112,506,"Calendar Gunfight","16 days 30:47:00"
112,502,"Calendar Gunfight","15 days 44:54:00"
112,507,"Calendar Gunfight","13 days 06:17:00"
112,505,"Calendar Gunfight","7 days 42:33:00"
112,504,"Calendar Gunfight","2 days 24:16:00"
113,511,"California Birds","20 days 49:43:00"
113,510,"California Birds","18 days 43:49:00"
113,508,"California Birds","11 days 41:28:00"
113,509,"California Birds","9 days 43:51:00"
114,515,"Camelot Vacation","25 days 50:28:00"
114,517,"Camelot Vacation","23 days 49:07:00"
114,518,"Camelot Vacation","18 days 70:15:00"
114,513,"Camelot Vacation","19 days 35:34:00"
114,514,"Camelot Vacation","18 days 42:20:00"
114,516,"Camelot Vacation","15 days 47:01:00"
114,512,"Camelot Vacation","12 days 47:44:00"
115,522,"Campus Remember","29 days 51:15:00"
115,523,"Campus Remember","29 days 42:32:00"
115,520,"Campus Remember","17 days 23:12:00"
115,521,"Campus Remember","11 days 39:38:00"
115,525,"Campus Remember","11 days 04:22:00"
115,524,"Campus Remember","7 days 25:07:00"
115,519,"Campus Remember","5 days 04:39:00"
116,530,"Candidate Perdition","31 days 12:07:00"
116,527,"Candidate Perdition","22 days 44:30:00"
116,531,"Candidate Perdition","19 days 43:27:00"
116,528,"Candidate Perdition","14 days 43:13:00"
116,529,"Candidate Perdition","9 days 24:02:00"
116,526,"Candidate Perdition","1 day 00:16:00"
117,533,"Candles Grapes","24 days 65:57:00"
117,535,"Candles Grapes","22 days 30:36:00"
117,536,"Candles Grapes","18 days 86:57:00"
117,537,"Candles Grapes","13 days 65:43:00"
117,532,"Candles Grapes","12 days 46:40:00"
117,534,"Candles Grapes","9 days 07:18:00"
118,541,"Canyon Stock","20 days 65:04:00"
118,538,"Canyon Stock","19 days 45:38:00"
118,539,"Canyon Stock","15 days 24:56:00"
118,542,"Canyon Stock","13 days 23:00:00"
118,543,"Canyon Stock","6 days 27:38:00"
118,540,"Canyon Stock","6 days 20:20:00"
119,550,"Caper Motions","21 days 51:56:00"
119,548,"Caper Motions","18 days 64:26:00"
119,547,"Caper Motions","15 days 87:19:00"
119,546,"Caper Motions","11 days 65:51:00"
119,545,"Caper Motions","11 days 27:15:00"
119,549,"Caper Motions","9 days 32:36:00"
119,544,"Caper Motions","9 days 24:57:00"
120,553,"Caribbean Liberty","26 days 27:42:00"
120,552,"Caribbean Liberty","11 days 44:07:00"
120,551,"Caribbean Liberty","11 days 25:26:00"
121,556,"Carol Texas","22 days 28:09:00"
121,559,"Carol Texas","17 days 66:20:00"
121,558,"Carol Texas","15 days 31:40:00"
121,555,"Carol Texas","12 days 06:49:00"
121,557,"Carol Texas","11 days 09:24:00"
121,554,"Carol Texas","9 days 21:37:00"
122,565,"Carrie Bunch","27 days 63:58:00"
122,562,"Carrie Bunch","19 days 51:19:00"
122,563,"Carrie Bunch","17 days 41:01:00"
122,561,"Carrie Bunch","15 days 74:01:00"
122,560,"Carrie Bunch","7 days 70:22:00"
