"sum_clients","city","country","last_payment"
"27","Bhopal","India","2007-04-30"
"27","Cam Ranh","Vietnam","2007-04-30"
"27","Cianjur","Indonesia","2007-04-30"
"27","Ciparay","Indonesia","2007-05-14"
"27","Dallas","United States","2007-04-30"
"27","Dhaka","Bangladesh","2007-04-30"
"27","Dundee","United Kingdom","2007-04-30"
"27","Dzerzinsk","Russian Federation","2007-04-28"
"27","Emmen","Netherlands","2007-04-30"
"27","Etawah","India","2007-04-30"
"27","Florencia","Colombia","2007-04-30"
"27","Garden Grove","United States","2007-04-30"
"27","Gulbarga","India","2007-04-30"
"27","Huaian","China","2007-04-30"
"27","Ife","Nigeria","2007-05-14"
"27","Ivanovo","Russian Federation","2007-04-30"
"27","Kimberley","South Africa","2007-04-30"
"27","Kimchon","South Korea","2007-05-14"
"27","Kowloon and New Kowloon","Hong Kong","2007-05-14"
"27","Ondo","Nigeria","2007-04-30"
"27","Poos de Caldas","Brazil","2007-04-30"
"27","Saint Louis","United States","2007-04-30"
"27","Salinas","United States","2007-05-14"
"27","San Juan Bautista Tuxtepec","Mexico","2007-04-30"
"27","San Lorenzo","Paraguay","2007-05-14"
"27","Sanya","China","2007-05-14"
"27","Serpuhov","Russian Federation","2007-04-30"
"27","Songkhla","Thailand","2007-04-30"
"27","Suihua","China","2007-05-14"
"27","Toulouse","France","2007-04-30"
"27","Vila Velha","Brazil","2007-04-29"
"27","Vinh","Vietnam","2007-04-30"
"27","Witten","Germany","2007-04-30"
"27","Xintai","China","2007-04-30"
"27","Yaound","Cameroon","2007-05-14"
"27","Yuncheng","China","2007-04-30"
"27","Zaoyang","China","2007-04-30"
"27","Zeleznogorsk","Russian Federation","2007-04-30"
"26","Addis Abeba","Ethiopia","2007-04-30"
"26","al-Qatif","Saudi Arabia","2007-04-30"
"26","Ashgabat","Turkmenistan","2007-04-30"
"26","Ashqelon","Israel","2007-04-30"
"26","Bag","Brazil","2007-04-30"
"26","Balaiha","Russian Federation","2007-04-28"
"26","Batman","Turkey","2007-04-30"
"26","Battambang","Cambodia","2007-05-14"
"26","Baybay","Philippines","2007-04-30"
"26","Bijapur","India","2007-04-30"
"26","Buenaventura","Colombia","2007-04-30"
"26","Citrus Heights","United States","2007-04-30"
"26","Goinia","Brazil","2007-04-30"
"26","Hino","Japan","2007-05-14"
"26","Hodeida","Yemen","2007-04-30"
"26","Ikerre","Nigeria","2007-05-14"
"26","Junan","China","2007-05-14"
"26","Kamjanets-Podilskyi","Ukraine","2007-04-30"
"26","Kisumu","Kenya","2007-04-30"
"26","Liaocheng","China","2007-04-30"
"26","Lima","Peru","2007-05-14"
"26","Linz","Austria","2007-04-30"
"26","Mit Ghamr","Egypt","2007-04-30"
"26","Onomichi","Japan","2007-04-30"
"26","Patras","Greece","2007-04-30"
"26","Pontianak","Indonesia","2007-04-29"
"26","Rancagua","Chile","2007-04-30"
"26","Rio Claro","Brazil","2007-04-30"
"26","Saarbrcken","Germany","2007-04-30"
"26","Shubra al-Khayma","Egypt","2007-04-30"
"26","Siegen","Germany","2007-05-14"
"26","Sogamoso","Colombia","2007-04-30"
"26","Sousse","Tunisia","2007-04-30"
"26","Taguig","Philippines","2007-05-14"
"26","Tama","Japan","2007-04-30"
"26","Yangor","Nauru","2007-04-29"
"26","Yerevan","Armenia","2007-04-30"
"25","Akishima","Japan","2007-04-28"
"25","Almirante Brown","Argentina","2007-04-30"
"25","Atlixco","Mexico","2007-04-30"
"25","Baha Blanca","Argentina","2007-05-14"
"25","Benguela","Angola","2007-04-30"
"25","Chisinau","Moldova","2007-05-14"
"25","Coatzacoalcos","Mexico","2007-04-30"
"25","Cuautla","Mexico","2007-04-30"
"25","Daugavpils","Latvia","2007-04-30"
"25","El Alto","Bolivia","2007-04-30"
"25","El Monte","United States","2007-04-30"
"25","Fuzhou","China","2007-04-30"
"25","Hagonoy","Philippines","2007-05-14"
"25","Haiphong","Vietnam","2007-05-14"
"25","Huejutla de Reyes","Mexico","2007-05-14"
"25","Ipoh","Malaysia","2007-05-14"
"25","Isesaki","Japan","2007-04-30"
"25","Jakarta","Indonesia","2007-05-14"
"25","Jalib al-Shuyukh","Kuwait","2007-05-14"
"25","Jelets","Russian Federation","2007-05-14"
"25","Kalisz","Poland","2007-05-14"
"25","Kanchrapara","India","2007-04-30"
"25","Kingstown","Saint Vincent and the Grenadines","2007-05-14"
"25","Kragujevac","Yugoslavia","2007-04-30"
"25","Lublin","Poland","2007-04-30"
"25","Maring","Brazil","2007-04-30"
"25","Mogiljov","Belarus","2007-05-14"
"25","Omdurman","Sudan","2007-05-14"
"25","Ourense (Orense)","Spain","2007-04-30"
"25","Pak Kret","Thailand","2007-04-30"
"25","Pangkal Pinang","Indonesia","2007-04-30"
"25","Rajkot","India","2007-05-14"
"25","Rampur","India","2007-05-14"
"25","Richmond Hill","Canada","2007-04-30"
"25","Sanaa","Yemen","2007-05-14"
"25","Simferopol","Ukraine","2007-05-14"
"25","Southport","United Kingdom","2007-04-30"
"25","Sumqayit","Azerbaijan","2007-04-30"
"25","Surakarta","Indonesia","2007-04-29"
"25","Tandil","Argentina","2007-04-29"
"25","Vicente Lpez","Argentina","2007-05-14"
"25","Woodridge","Australia","2007-05-14"
"25","Yinchuan","China","2007-04-30"
"25","Zapopan","Mexico","2007-04-30"
"24","Aden","Yemen","2007-04-30"
"24","al-Manama","Bahrain","2007-04-30"
"24","Athenai","Greece","2007-04-30"
"24","Bandar Seri Begawan","Brunei","2007-04-30"
"24","Bat Yam","Israel","2007-05-14"
"24","Bayugan","Philippines","2007-05-14"
"24","Bchar","Algeria","2007-04-30"
"24","Botosani","Romania","2007-04-30"
"24","Caracas","Venezuela","2007-04-30"
"24","Emeishan","China","2007-04-30"
"24","Enshi","China","2007-05-14"
"24","Ezeiza","Argentina","2007-04-30"
"24","Gatineau","Canada","2007-05-14"
"24","Graz","Austria","2007-04-28"
"24","Higashiosaka","Japan","2007-05-14"
"24","Iligan","Philippines","2007-05-14"
"24","Izumisano","Japan","2007-04-30"
"24","Karnal","India","2007-04-30"
"24","Kuching","Malaysia","2007-04-30"
"24","Kurashiki","Japan","2007-05-14"
"24","Laiwu","China","2007-04-30"
"24","Lapu-Lapu","Philippines","2007-04-30"
"24","Manchester","United States","2007-05-14"
"24","Monywa","Myanmar","2007-05-14"
"24","Mosul","Iraq","2007-04-30"
"24","Oyo","Nigeria","2007-04-30"
"24","Pereira","Colombia","2007-04-30"
"24","Pudukkottai","India","2007-05-14"
"24","Quilmes","Argentina","2007-04-30"
"24","San Felipe de Puerto Plata","Dominican Republic","2007-04-30"
"24","Santo Andr","Brazil","2007-04-29"
"24","Shanwei","China","2007-04-30"
"24","Stockport","United Kingdom","2007-05-14"
"24","Sullana","Peru","2007-04-30"
"24","Tambaram","India","2007-05-14"
"24","Tanauan","Philippines","2007-04-30"
"24","Tel Aviv-Jaffa","Israel","2007-05-14"
"24","Toulon","France","2007-05-14"
"24","Tsaotun","Taiwan","2007-04-30"
"24","Ueda","Japan","2007-04-30"
"24","Xiangfan","China","2007-04-30"
"24","Xinxiang","China","2007-04-30"
"24","Yingkou","China","2007-05-14"
"24","Yuzhou","China","2007-05-14"
"24","Zanzibar","Tanzania","2007-05-14"
"24","Zaria","Nigeria","2007-05-14"
"24","Zhoushan","China","2007-04-30"
"23","al-Ayn","United Arab Emirates","2007-04-30"
"23","al-Qadarif","Sudan","2007-05-14"
"23","Allappuzha (Alleppey)","India","2007-05-14"
"23","Aparecida de Goinia","Brazil","2007-04-30"
"23","Bhavnagar","India","2007-05-14"
"23","Birgunj","Nepal","2007-04-30"
"23","Carmen","Mexico","2007-05-14"
"23","Cavite","Philippines","2007-05-14"
"23","Cayenne","French Guiana","2007-05-14"
"23","Coquimbo","Chile","2007-04-30"
"23","Donostia-San Sebastin","Spain","2007-05-14"
"23","Erlangen","Germany","2007-04-30"
"23","Fuyu","China","2007-04-30"
"23","Gijn","Spain","2007-04-30"
"23","Halisahar","India","2007-05-14"
"23","Jaroslavl","Russian Federation","2007-04-30"
"23","Jastrzebie-Zdrj","Poland","2007-04-30"
"23","Jedda","Saudi Arabia","2007-04-30"
"23","Jhansi","India","2007-04-30"
"23","Johannesburg","South Africa","2007-04-29"
"23","Juazeiro do Norte","Brazil","2007-04-30"
"23","Ktahya","Turkey","2007-04-30"
"23","Kurgan","Russian Federation","2007-04-30"
"23","La Paz","Mexico","2007-04-30"
"23","La Romana","Dominican Republic","2007-04-29"
"23","Leshan","China","2007-04-30"
"23","Lhokseumawe","Indonesia","2007-05-14"
"23","Merlo","Argentina","2007-04-30"
"23","Mukateve","Ukraine","2007-04-30"
"23","Mwene-Ditu","Congo, The Democratic Republic of the","2007-04-30"
"23","Najafabad","Iran","2007-04-30"
"23","Nanyang","China","2007-04-30"
"23","Papeete","French Polynesia","2007-04-30"
"23","Purwakarta","Indonesia","2007-04-30"
"23","Rizhao","China","2007-04-30"
"23","s-Hertogenbosch","Netherlands","2007-04-30"
"23","Sagamihara","Japan","2007-04-30"
"23","Santa Rosa","Philippines","2007-04-30"
"23","Soshanguve","South Africa","2007-04-30"
"23","Szkesfehrvr","Hungary","2007-04-30"
"23","Tabora","Tanzania","2007-05-14"
"23","Tabuk","Saudi Arabia","2007-04-30"
"23","Tanza","Philippines","2007-05-14"
"23","Tieli","China","2007-04-30"
"23","Touliu","Taiwan","2007-04-30"
"23","Uttarpara-Kotrung","India","2007-04-30"
"23","York","United Kingdom","2007-04-30"
"23","Ziguinchor","Senegal","2007-04-30"
"22","Adoni","India","2007-04-30"
"22","Baiyin","China","2007-05-14"
"22","Beira","Mozambique","2007-05-14"
"22","Bern","Switzerland","2007-04-30"
"22","Bhusawal","India","2007-05-14"
"22","Botshabelo","South Africa","2007-05-14"
"22","Changhwa","Taiwan","2007-04-30"
"22","Changzhou","China","2007-04-30"
"22","Cuernavaca","Mexico","2007-04-30"
"22","Dadu","Pakistan","2007-04-30"
"22","El Fuerte","Mexico","2007-04-30"
"22","Gorontalo","Indonesia","2007-05-14"
"22","Greensboro","United States","2007-04-30"
"22","Halifax","Canada","2007-05-14"
"22","Hiroshima","Japan","2007-04-30"
"22","Ilorin","Nigeria","2007-05-14"
"22","Iwatsuki","Japan","2007-04-30"
"22","Jaipur","India","2007-05-14"
"22","Kilis","Turkey","2007-04-30"
"22","La Plata","Argentina","2007-05-14"
"22","Lancaster","United States","2007-05-14"
"22","Laredo","United States","2007-04-30"
"22","Le Mans","France","2007-04-30"
"22","Masqat","Oman","2007-05-14"
"22","Miraj","India","2007-04-30"
"22","Miyakonojo","Japan","2007-04-30"
"22","Molodetno","Belarus","2007-05-14"
"22","Monclova","Mexico","2007-05-14"
"22","Munger (Monghyr)","India","2007-04-29"
"22","Naju","South Korea","2007-05-14"
"22","Newcastle","South Africa","2007-05-14"
"22","Novoterkassk","Russian Federation","2007-04-30"
"22","Oulu","Finland","2007-04-30"
"22","Paarl","South Africa","2007-04-28"
"22","Portoviejo","Ecuador","2007-04-30"
"22","Pyongyang","North Korea","2007-04-30"
"22","Qinhuangdao","China","2007-05-14"
"22","Ruse","Bulgaria","2007-05-14"
"22","Santiago de los Caballeros","Dominican Republic","2007-04-29"
"22","Shenzhen","China","2007-04-30"
"22","Sincelejo","Colombia","2007-04-30"
"22","South Hill","Anguilla","2007-04-30"
"22","Southend-on-Sea","United Kingdom","2007-04-30"
"22","Stara Zagora","Bulgaria","2007-05-14"
"22","Tafuna","American Samoa","2007-04-30"
"22","Tangail","Bangladesh","2007-04-30"
"22","Tiefa","China","2007-05-14"
"22","Tongliao","China","2007-05-14"
"22","Tsuyama","Japan","2007-04-30"
"22","Valle de Santiago","Mexico","2007-05-14"
"22","Vijayawada","India","2007-04-28"
"22","Vilnius","Lithuania","2007-04-30"
"22","Wroclaw","Poland","2007-04-30"
"21","Augusta-Richmond County","United States","2007-04-30"
"21","Baku","Azerbaijan","2007-05-14"
"21","Belm","Brazil","2007-04-30"
"21","Binzhou","China","2007-04-30"
"21","Boksburg","South Africa","2007-04-30"
"21","Braslia","Brazil","2007-04-30"
"21","Chapra","India","2007-04-30"
"21","Haining","China","2007-04-30"
"21","Imus","Philippines","2007-04-30"
"21","Jaffna","Sri Lanka","2007-04-29"
"21","Klerksdorp","South Africa","2007-04-30"
"21","Kolpino","Russian Federation","2007-05-14"
"21","Kumbakonam","India","2007-04-30"
"21","Lengshuijiang","China","2007-04-30"
"21","Liepaja","Latvia","2007-04-29"
"21","Lilongwe","Malawi","2007-04-30"
"21","Mandi Bahauddin","Pakistan","2007-04-30"
"21","Mysore","India","2007-04-30"
"21","Nagareyama","Japan","2007-04-27"
"21","Nukualofa","Tonga","2007-04-30"
"21","Ogbomosho","Nigeria","2007-05-14"
"21","Osmaniye","Turkey","2007-04-30"
"21","Owo","Nigeria","2007-04-29"
"21","Salamanca","Mexico","2007-05-14"
"21","Sambhal","India","2007-04-30"
"21","Sawhaj","Egypt","2007-04-29"
"21","Sivas","Turkey","2007-04-30"
"21","Tallahassee","United States","2007-04-30"
"21","Usak","Turkey","2007-04-30"
"21","Weifang","China","2007-05-14"
"21","Yantai","China","2007-04-30"
"20","al-Hawiya","Saudi Arabia","2007-05-14"
"20","Asuncin","Paraguay","2007-05-14"
"20","Benin City","Nigeria","2007-04-30"
"20","Berhampore (Baharampur)","India","2007-04-30"
"20","Brest","France","2007-04-29"
"20","Bydgoszcz","Poland","2007-04-28"
"20","Ciudad del Este","Paraguay","2007-04-30"
"20","Dos Quebradas","Colombia","2007-04-30"
"20","Firozabad","India","2007-04-30"
"20","Funafuti","Tuvalu","2007-04-30"
"20","Guadalajara","Mexico","2007-04-30"
"20","Guaruj","Brazil","2007-04-30"
"20","Idfu","Egypt","2007-04-30"
"20","Kamakura","Japan","2007-05-14"
"20","Kuwana","Japan","2007-05-14"
"20","Ljubertsy","Russian Federation","2007-04-30"
"20","London","United Kingdom","2007-04-30"
"20","Luzinia","Brazil","2007-04-30"
"20","Moscow","Russian Federation","2007-04-30"
"20","NDjamna","Chad","2007-04-30"
"20","Nyeri","Kenya","2007-04-30"
"20","Omiya","Japan","2007-04-29"
"20","Pathankot","India","2007-05-14"
"20","Rae Bareli","India","2007-04-30"
"20","Rockford","United States","2007-04-30"
"20","Rustenburg","South Africa","2007-04-30"
"20","Saint-Denis","Runion","2007-04-30"
"20","Sirjan","Iran","2007-05-14"
"20","Tarsus","Turkey","2007-04-30"
"20","Tete","Mozambique","2007-04-30"
"20","Trshavn","Faroe Islands","2007-04-30"
"20","Tychy","Poland","2007-04-30"
"20","Udaipur","India","2007-04-30"
"20","Uijongbu","South Korea","2007-04-29"
"20","Usolje-Sibirskoje","Russian Federation","2007-04-30"
"20","Vaduz","Liechtenstein","2007-04-11"
"20","Warren","United States","2007-04-30"
"19","Ambattur","India","2007-04-30"
"19","Anpolis","Brazil","2007-05-14"
"19","Balurghat","India","2007-04-30"
"19","Batna","Algeria","2007-04-30"
"19","Blumenau","Brazil","2007-04-30"
"19","Cabuyao","Philippines","2007-05-14"
"19","Cheju","South Korea","2007-04-30"
"19","Davao","Philippines","2007-04-29"
"19","Elista","Russian Federation","2007-05-14"
"19","Garland","United States","2007-04-30"
"19","Hami","China","2007-04-30"
"19","Hohhot","China","2007-04-30"
"19","Jinzhou","China","2007-04-30"
"19","Kabul","Afghanistan","2007-04-28"
"19","Kakamigahara","Japan","2007-04-28"
"19","Konotop","Ukraine","2007-04-30"
"19","Laohekou","China","2007-04-30"
"19","Lipetsk","Russian Federation","2007-04-30"
"19","Livorno","Italy","2007-04-30"
"19","London","Canada","2007-04-30"
"19","Malm","Sweden","2007-04-30"
"19","Mardan","Pakistan","2007-04-30"
"19","Meixian","China","2007-05-14"
"19","Namibe","Angola","2007-05-14"
"19","Okara","Pakistan","2007-04-30"
"19","Patiala","India","2007-04-28"
"19","Phnom Penh","Cambodia","2007-04-30"
"19","Pingxiang","China","2007-04-30"
"19","Purnea (Purnia)","India","2007-04-28"
"19","Roanoke","United States","2007-04-30"
"19","Sasebo","Japan","2007-04-28"
"19","Skikda","Algeria","2007-04-30"
"19","So Bernardo do Campo","Brazil","2007-04-30"
"19","Southampton","United Kingdom","2007-04-30"
"19","Sucre","Bolivia","2007-05-14"
"19","Sumy","Ukraine","2007-04-30"
"19","Syktyvkar","Russian Federation","2007-05-14"
"19","Udine","Italy","2007-04-30"
"18","Alvorada","Brazil","2007-04-30"
"18","Amersfoort","Netherlands","2007-04-30"
"18","Cape Coral","United States","2007-04-30"
"18","Dhule (Dhulia)","India","2007-04-30"
"18","Haldia","India","2007-05-14"
"18","Hsichuh","Taiwan","2007-04-30"
"18","Inegl","Turkey","2007-04-30"
"18","Jurez","Mexico","2007-04-30"
"18","Kanazawa","Japan","2007-04-30"
"18","Matamoros","Mexico","2007-04-30"
"18","Matsue","Japan","2007-04-30"
"18","Mexicali","Mexico","2007-05-14"
"18","Oshawa","Canada","2007-04-30"
"18","Peoria","United States","2007-04-30"
"18","Tabriz","Iran","2007-04-30"
"18","Teboksary","Russian Federation","2007-05-14"
"18","Valle de la Pascua","Venezuela","2007-04-30"
"17","Bhilwara","India","2007-04-29"
"17","Callao","Peru","2007-04-30"
"17","Citt del Vaticano","Holy See (Vatican City State)","2007-04-29"
"17","Eskisehir","Turkey","2007-04-30"
"17","Ezhou","China","2007-05-14"
"17","Lausanne","Switzerland","2007-04-30"
"17","Maracabo","Venezuela","2007-04-30"
"17","Memphis","United States","2007-04-30"
"17","Nakhon Sawan","Thailand","2007-04-30"
"17","Pune","India","2007-05-14"
"17","San Miguel de Tucumn","Argentina","2007-04-30"
"17","Sokoto","Nigeria","2007-04-29"
"17","Tartu","Estonia","2007-04-29"
"17","Valencia","Venezuela","2007-04-30"
"17","Zalantun","China","2007-04-30"
"16","Halle/Saale","Germany","2007-04-30"
"16","Iwaki","Japan","2007-04-30"
"16","Iwakuni","Japan","2007-04-30"
"16","Koriyama","Japan","2007-04-30"
"16","Madiun","Indonesia","2007-04-30"
"16","Myingyan","Myanmar","2007-04-30"
"16","Robamba","Ecuador","2007-04-30"
"16","Sharja","United Arab Emirates","2007-04-27"
"16","Tuguegarao","Philippines","2007-04-29"
"16","Uluberia","India","2007-05-14"
"16","Urawa","Japan","2007-04-30"
"15","Fengshan","Taiwan","2007-04-29"
"15","Kaliningrad","Russian Federation","2007-04-30"
"15","Lincoln","United States","2007-04-30"
"15","Lungtan","Taiwan","2007-04-30"
"15","Mannheim","Germany","2007-04-30"
"15","Pemalang","Indonesia","2007-04-30"
"15","Springs","South Africa","2007-04-27"
"14","Bamenda","Cameroon","2007-04-30"
"14","Crdoba","Argentina","2007-04-30"
"14","Dayton","United States","2007-04-30"
"14","Maikop","Russian Federation","2007-05-14"
"14","Shaoguan","China","2007-04-30"
"13","Bellevue","United States","2007-04-30"
"13","Kaduna","Nigeria","2007-04-28"
"13","Korla","China","2007-04-30"
"13","Lubumbashi","Congo, The Democratic Republic of the","2007-04-30"
"12","Chiayi","Taiwan","2007-04-27"
"10","Kursk","Russian Federation","2007-04-28"
"7","Mandaluyong","Philippines","2007-04-30"
